id_from	id_to
CATEGORY_ROOT	V4ueGnC0EDyF4ZCJnHO7w
CATEGORY_ROOT	HyMvdUuj3hE9RCtwbJrHe
CATEGORY_ROOT	jd-8xmWMJ_mN91n4-u6Gt
CATEGORY_ROOT	txyfpxMOwTVFaBx_Q-Zzk
CATEGORY_ROOT	MAuXnoNL4nZ6-leZkT9yH
V4ueGnC0EDyF4ZCJnHO7w	fWwQy00MAM1deLbm9TbeT
V4ueGnC0EDyF4ZCJnHO7w	VFHLtyFArWnFUyE6IYnyM
HyMvdUuj3hE9RCtwbJrHe	0gui1pFVsAeDXZ9sdJVCD
jd-8xmWMJ_mN91n4-u6Gt	fWuucuYw3G2Bcq2qjZ8Vx
jd-8xmWMJ_mN91n4-u6Gt	QFflmVbRW7Q-Wwl79ahfV
txyfpxMOwTVFaBx_Q-Zzk	Z1kzQ2CYhwgTwqUL3d851
txyfpxMOwTVFaBx_Q-Zzk	VlxPvpSKKB-3544CIt3hA
txyfpxMOwTVFaBx_Q-Zzk	VCtMNnICPBmlhsw66EIh_
MAuXnoNL4nZ6-leZkT9yH	apewDlNt0N7izPOy1oULi
MAuXnoNL4nZ6-leZkT9yH	mA8vel7HVnRJehljPyi9H
MAuXnoNL4nZ6-leZkT9yH	OPOtUl1kLXOGns1YCERvV
fWwQy00MAM1deLbm9TbeT	PXmAAitg0-T0Ijrpn4pGe
fWwQy00MAM1deLbm9TbeT	AKotoulTqz6Q7u-32-xDB
fWwQy00MAM1deLbm9TbeT	5gBLE1T3g6t7s678hSSx8
fWwQy00MAM1deLbm9TbeT	JUh-SlIPKwpHhLNTUpk5a
